date,ticker,fill_type,side,qty,mid_price,assumed_price,cost_bps
2025-10-21,1618.T,open,BUY,5.94643451786309,25200.0,25225.199999999997,10.0
2025-10-21,1618.T,close,SELL,5.94643451786309,25055.0,25029.945,10.0
2025-10-21,1624.T,open,BUY,1.9598502465360956,76460.0,76536.45999999999,10.0
2025-10-21,1624.T,close,SELL,1.9598502465360956,74400.0,74325.6,10.0
2025-10-21,1625.T,open,BUY,3.198509068306294,46850.0,46896.84999999999,10.0
2025-10-21,1625.T,close,SELL,3.198509068306294,46660.0,46613.34,10.0
2025-10-21,1629.T,open,BUY,1.4605277763172502,102600.0,102702.59999999999,10.0
2025-10-21,1629.T,close,SELL,1.4605277763172502,102600.0,102497.4,10.0
2025-10-21,1631.T,open,BUY,6.0423447520221725,24800.0,24824.799999999996,10.0
2025-10-21,1631.T,close,SELL,6.0423447520221725,24690.0,24665.31,10.0
