trade_date,ticker,leg,side,quantity,price,notional_jpy,cost_bps,cost_jpy
2025-10-31,1618.T,entry,buy,5.707762557077626,26280.0,150000.0,10.0,150.0
2025-10-31,1618.T,exit,sell,5.707762557077626,26160.0,149315.0684931507,10.0,149.31506849315068
2025-10-31,1623.T,entry,buy,3.454629203132197,43420.0,150000.0,10.0,150.0
2025-10-31,1623.T,exit,sell,3.454629203132197,43400.0,149930.90741593734,10.0,149.93090741593736
2025-10-31,1625.T,entry,buy,2.9922202274087373,50130.0,150000.0,10.0,150.0
2025-10-31,1625.T,exit,sell,2.9922202274087373,50330.0,150598.44404548174,10.0,150.59844404548173
2025-10-31,1629.T,entry,buy,1.4164305949008498,105900.0,150000.0,10.0,150.0
2025-10-31,1629.T,exit,sell,1.4164305949008498,104600.0,148158.6402266289,10.0,148.15864022662888
2025-10-31,1631.T,entry,buy,5.971337579617835,25120.0,150000.0,10.0,150.0
2025-10-31,1631.T,exit,sell,5.971337579617835,25130.0,150059.7133757962,10.0,150.05971337579618
