date,ticker,signal_raw,signal_rank,tradable_flag,paper_weight_raw,target_weight
2025-08-29,1617.T,-0.15172812010321302,17.0,True,-0.2,0.0
2025-08-29,1618.T,0.14151517440936393,2.0,True,0.2,0.15
2025-08-29,1619.T,-0.004020288034094323,11.0,True,0.0,0.0
2025-08-29,1620.T,0.010605112289102488,8.0,True,0.0,0.0
2025-08-29,1621.T,-0.14164760196707268,15.0,True,-0.2,0.0
2025-08-29,1622.T,0.01147169921478458,6.0,True,0.0,0.0
2025-08-29,1623.T,0.01836668656147568,5.0,True,0.2,0.15
2025-08-29,1624.T,0.010685194072078364,7.0,True,0.0,0.0
2025-08-29,1625.T,0.1464560055049639,1.0,True,0.2,0.15
2025-08-29,1626.T,3.706294385230494e-05,10.0,True,0.0,0.0
2025-08-29,1627.T,-0.13794172564397925,14.0,True,-0.2,0.0
2025-08-29,1628.T,-0.006625199136206279,12.0,True,0.0,0.0
2025-08-29,1629.T,0.14061932729723128,3.0,True,0.2,0.15
2025-08-29,1630.T,-0.14329249557432489,16.0,True,-0.2,0.0
2025-08-29,1631.T,0.14058024756723592,4.0,True,0.2,0.15
2025-08-29,1632.T,0.0076180129299596765,9.0,True,0.0,0.0
2025-08-29,1633.T,-0.011464584530768467,13.0,True,-0.2,0.0
