date,ticker,signal_raw,signal_rank,tradable_flag,paper_weight_raw,target_weight
2025-09-11,1617.T,0.006613354289775158,4.0,True,0.2,0.15
2025-09-11,1618.T,-0.0075218987144229435,17.0,True,-0.2,0.0
2025-09-11,1619.T,0.00018377520920376264,8.0,True,0.0,0.0
2025-09-11,1620.T,-0.0013419837119358893,13.0,True,-0.2,0.0
2025-09-11,1621.T,0.006828121969351203,2.0,True,0.2,0.15
2025-09-11,1622.T,0.0008637874655378122,5.0,True,0.2,0.15
2025-09-11,1623.T,-0.0007579613864131825,12.0,True,0.0,0.0
2025-09-11,1624.T,-0.0003013390780374678,11.0,True,0.0,0.0
2025-09-11,1625.T,-0.005590386601870325,14.0,True,-0.2,0.0
2025-09-11,1626.T,0.0004575745074371488,7.0,True,0.0,0.0
2025-09-11,1627.T,0.006766003311013634,3.0,True,0.2,0.15
2025-09-11,1628.T,0.0001474638116334993,9.0,True,0.0,0.0
2025-09-11,1629.T,-0.006061504825726853,16.0,True,-0.2,0.0
2025-09-11,1630.T,0.007109580523038189,1.0,True,0.2,0.15
2025-09-11,1631.T,-0.0058181777153024266,15.0,True,-0.2,0.0
2025-09-11,1632.T,-0.00011069936504306757,10.0,True,0.0,0.0
2025-09-11,1633.T,0.0005332358810307574,6.0,True,0.0,0.0
